branchname,district,division,region,state,pincode
Ghosla,Hooghly,Hooghly North,South Bengal,West Bengal,712303
Chandil,Seraikela-kharsawan,Singhbhum,Ranchi,Jharkhand,832401
DEBRA,none,none,none,none,none
Harur,Dharmapuri,Dharmapuri,Coimbatore,Tamil Nadu,636903
KUNJILA,none,none,none,none,none
GADCHANDUR,none,none,none,none,none
SADAK,none,none,none,none,none
Shahpura,Jaipur,Jaipur Moffusil,Jaipur HQ,Rajasthan,303103
Allur,Thanjavur,Thanjavur,Tiruchy,Tamil Nadu,613101
Sardulgarh,Mansa,Bhatinda,Chandigarh Region,Punjab,151507
Nainital,Nainital,Nainital,Dehradun,Uttarakhand,263001
TALAWANDI,none,none,none,none,none
Malhargarh,Mandsaur,Mandsaur,Indore,Madhya Pradesh,458339
DODDABALLAPUR,none,none,none,none,none
Budhera,Bagpat,Meerut,Bareilly,Uttar Pradesh,250611
VEMAGAL,none,none,none,none,none
Kala,Jamui,Monghyr,Patna HQ,Bihar,811312
Paloda,Banswara,Dungarpur,Ajmer,Rajasthan,327605
Nampur,Nashik,Malegaon,Aurangabad,Maharashtra,423204
Sunam,Sangrur,Sangrur,Chandigarh HQ,Punjab,148028
Kalanwali,Sirsa,Hissar,Ambala  HQ,Haryana,125201
PANCHKULA,none,none,none,none,none
Habra,North 24 Parganas,Barasat,Calcutta,West Bengal,743263
Godhra,Kachchh,Kutch,Rajkot,Gujarat,370450
Chirawa,Jhujhunu,Jhunjhunu,Jodhpur,Rajasthan,333026
MEHMDABAD,none,none,none,none,none
Nadol,Pali,Pali,Jodhpur,Rajasthan,306603
QQQ,none,none,none,none,none
TALODE,none,none,none,none,none
Susner,Shajapur,Ujjain,Indore,Madhya Pradesh,465447
RAJGANGAPUR,none,none,none,none,none
Gohpur,Sonitpur,Darrang,Guwahati HQ,Assam,784168
Lalganj,Bardhaman,Asansol,South Bengal,West Bengal,713359
Ahmednagar,Ahmed Nagar,Ahmednagar,Pune,Maharashtra,414001
Mehre,Hamirpur(HP),Hamirpur,Shimla HQ,Himachal Pradesh,174305
Nimbahera,Chittorgarh,Chittorgarh,Ajmer,Rajasthan,312202
Chandur,Kolhapur,Kolhapur,Goa-Panaji,Maharashtra,416116
BOMMANAKATTE,none,none,none,none,none
Birnipali,Raigarh,Raigarh,Raipur,Chattisgarh,496551
Bhokar,Nanded,Nanded,Aurangabad,Maharashtra,431801
Diggi,Yadgir,Gulbarga,North Karnataka,Karnataka,585287
Pali,Bharatpur,Bharatpur,Jaipur HQ,Rajasthan,321601
GHURAM,none,none,none,none,none
GAZOLE,none,none,none,none,none
GAZOLE,none,none,none,none,none
Sankhavaram,East Godavari,Kakinada,Visakhapatnam,Andhra Pradesh,533446
Narayanpura,Yadgir,Gulbarga,North Karnataka,Karnataka,585214
Panagar,Chhatarpur,Chhatarpur,Bhopal HQ,Madhya Pradesh,471405
Mulakalacheruvu,Chittoor,Chittoor,Kurnool,Andhra Pradesh,517390
Sikri,Gumla,Ranchi,Ranchi,Jharkhand,835206
PARIKUD,none,none,none,none,none
Kuppam,Chittoor,Chittoor,Kurnool,Andhra Pradesh,517425
Hasanpur,Kaushambi,Allahabad,Allahabad,Uttar Pradesh,212216
Vaniyambadi,Vellore,Tirupattur,Coimbatore,Tamil Nadu,635751
Sirmour,Rewa,Rewa,Bhopal HQ,Madhya Pradesh,486448
Mahalingpur,Bagalkot,Bagalkot,North Karnataka,Karnataka,587312
Bilha,Bilaspur(CGH),Bilaspur,Raipur,Chattisgarh,495224
Rairangpur,Mayurbhanj,Mayurbhanj,Bhubaneswar HQ,Odisha,757043
Dhamangaon,Jalgaon,Jalgaon,Aurangabad,Maharashtra,424106
Bhadgaon,Kolhapur,Kolhapur,Goa-Panaji,Maharashtra,416502
Mundawar,Alwar,Alwar,Jaipur HQ,Rajasthan,301024
Vadgam,Banaskantha,Banasanktha,Ahmedabad HQ,Gujarat,385410
Tal,Rajsamand,Udaipur,Ajmer,Rajasthan,313331
Nerwa,Shimla,Shimla,Shimla HQ,Himachal Pradesh,171210
Devalapura,Mysore,Mysore,South Karnataka,Karnataka,571311
Mothkur,K.V.Rangareddy,Mahabubnagar,Hyderabad,Telangana,509335
