branchname,district,division,region,state,pincode
Arni,Rajkot,Gondal,Rajkot,Gujarat,360450
Semariya,Rewa,Rewa,Bhopal HQ,Madhya Pradesh,486445
Nandyal,Kurnool,Nandyal,Kurnool,Andhra Pradesh,518501
Rengali,Balangir,Balangir,Sambalpur,Odisha,767022
Indergarh,Jaipur,Jaipur City,Jaipur HQ,Rajasthan,302027
Jhalda,Puruliya,Purulia,South Bengal,West Bengal,723202
Kosgi,Mahabub Nagar,Mahabubnagar,Hyderabad,Telangana,509339
Dera,Angul,Dhenkanal,Sambalpur,Odisha,759103
Patan,Alwar,Alwar,Jaipur HQ,Rajasthan,301414
Agomoni,Dhubri,Goalpara,Guwahati HQ,Assam,783335
Daltonganj,Palamau,Palamau,Ranchi,Jharkhand,822101
Sonari,Sultanpur,Sultanpur,Lucknow  HQ,Uttar Pradesh,227816
WANAPARTHI,none,none,none,none,none
Ner,Jehanabad,Gaya,Patna HQ,Bihar,804422
Mahur,North Cachar Hills,Cachar,Guwahati HQ,Assam,788830
PHAGWADA,none,none,none,none,none
GUDAVENCHERY,none,none,none,none,none
Batala,Gurdaspur,Gurdaspur,Chandigarh Region,Punjab,143505
Banka,Darbhanga,Darbhanga,Muzaffarpur,Bihar,847121
TEOSA,none,none,none,none,none
Shahabad,Maharajganj,Gorakhpur,Gorakhpur,Uttar Pradesh,273157
Sirsa,West Midnapore,Midnapore,South Bengal,West Bengal,721260
Charkhi,Bhiwani,Bhiwani,Ambala  HQ,Haryana,127306
Ramanathapuram,Tiruvannamalai,Tiruvannamalai,Chennai Region,Tamil Nadu,606905
TAGARAPUVALASA,none,none,none,none,none
Khetia,Barwani,Khandwa,Indore,Madhya Pradesh,451881
Thalassery,Kannur,Thalassery,Calicut,Kerala,670101
Jigani,Morena,Morena,Gwalior,Madhya Pradesh,476001
Ahmedpur,Mansa,Bhatinda,Chandigarh Region,Punjab,151502
Lakhnadon,Seoni,Balaghat,Bhopal HQ,Madhya Pradesh,480886
Hindupur,Ananthapur,Hindupur,Kurnool,Andhra Pradesh,515201
Dabhoi,Vadodara,Vadodara East,Vadodara,Gujarat,391110
Kalamb,Pune,Pune Moffusil,Pune,Maharashtra,413114
Gariaband,Raipur,Raipur,Raipur,Chattisgarh,493889
Dhamara,Bhadrak,Bhadrak,Bhubaneswar HQ,Odisha,756171
RAVATBHATA,none,none,none,none,none
SHIMLA,none,none,none,none,none
Taharabad,Ahmed Nagar,Shrirampur,Pune,Maharashtra,413706
Medha,Jaunpur,Jaunpur,Allahabad,Uttar Pradesh,222125
Canacona,South Goa,Goa,Goa-Panaji,Goa,403702
GHATABILLOD,none,none,none,none,none
Cuddapah,Cuddapah,Cuddapah,Kurnool,Andhra Pradesh,516001
Bagaha,West Champaran,West Champaran,Muzaffarpur,Bihar,845101
Padla,Kaithal,Kurukshetra,Ambala  HQ,Haryana,136027
Bijainagar,Ajmer,Beawar,Ajmer,Rajasthan,305624
Bhatinda,Jodhpur,Jodhpur,Jodhpur,Rajasthan,342027
Washim,Washim,Akola,Nagpur,Maharashtra,444505
Thirthahalli,Shimoga,Shimoga,South Karnataka,Karnataka,577432
FARIDABAD,none,none,none,none,none
Darjeeling,Darjiling,Darjeeling,North Bengal And Sikkim,West Bengal,734101
Narayanpura,Yadgir,Gulbarga,North Karnataka,Karnataka,585214
Dholka,Ahmedabad,Gandhinagar,Ahmedabad HQ,Gujarat,382225
Bharuch,Bharuch,Bharuch,Vadodara,Gujarat,392001
DUNGARGARH,none,none,none,none,none
Bamori,Bundi,Tonk,Ajmer,Rajasthan,323803
M,none,none,none,none,none
Kolaras,Shivpuri,Guna,Gwalior,Madhya Pradesh,473770
JAYAL,none,none,none,none,none
ATHAGAD,none,none,none,none,none
BILAGI,none,none,none,none,none
Ramsar,Bikaner,Bikaner,Jodhpur,Rajasthan,334201
Erandol,Jalgaon,Jalgaon,Aurangabad,Maharashtra,425109
Asangaon,Thane,Thane Central,Mumbai,Maharashtra,421601
Raoti,Ratlam,Ratlam,Indore,Madhya Pradesh,457001
Siwani,Bhiwani,Bhiwani,Ambala  HQ,Haryana,127046
Kohir,Medak,Sangareddy,Hyderabad,Telangana,502210
Bhiwandi,Thane,Thane Central,Mumbai,Maharashtra,421308
MHASVAD,none,none,none,none,none
Churina,Jhujhunu,Jhunjhunu,Jodhpur,Rajasthan,333515
Radhanagari,Kolhapur,Kolhapur,Goa-Panaji,Maharashtra,416212
Atul,Valsad,Valsad,Vadodara,Gujarat,396020
Khowai,West Tripura,Dharmanagar,Shillong HQ,Tripura,799201
Talikoti,Bijapur(KAR),Bijapur,North Karnataka,Karnataka,586214
Daspalla,Nayagarh,Puri,Bhubaneswar HQ,Odisha,752084
Amod,Bharuch,Bharuch,Vadodara,Gujarat,392110
Kichha,Udham Singh Nagar,Nainital,Dehradun,Uttarakhand,263148
PATTANCHERU,none,none,none,none,none
Nagamangala,Chikkaballapur,Kolar,South Karnataka,Karnataka,562102
Morpa,Kota,Kota,Ajmer,Rajasthan,325204
Macherla,Nizamabad,Nizamabad,Hyderabad,Telangana,503223
Kahnaur,Rohtak,Rohtak,Ambala  HQ,Haryana,124412
KRISHNARAJPET,none,none,none,none,none
Baramati,Pune,Pune Moffusil,Pune,Maharashtra,413102
Patnagarh,Balangir,Balangir,Sambalpur,Odisha,767025
Solan,Solan,Solan,Shimla HQ,Himachal Pradesh,173212
Dewas,Sikar,Sikar,Jodhpur,Rajasthan,332301
UDIPI,none,none,none,none,none
Vallabhipur,Bhavnagar,Bhavnagar,Rajkot,Gujarat,364310
Tapa,Sangrur,Sangrur,Chandigarh HQ,Punjab,148108
Lohardaga,Lohardaga,Ranchi,Ranchi,Jharkhand,835302
Alur,Bijapur(KAR),Bijapur,North Karnataka,Karnataka,586129
Jahu,Hamirpur(HP),Hamirpur,Shimla HQ,Himachal Pradesh,176048
Kanekal,Yadgir,Gulbarga,North Karnataka,Karnataka,585221
Rajpur,Buxar,Bhojpur,Patna HQ,Bihar,802131
Buchireddypalem,Nellore,Nellore,Vijayawada,Andhra Pradesh,524305
Ramganj,Madhepura,Saharsa,Muzaffarpur,Bihar,852112
Chinnasalem,Villupuram,Vriddhachalam,Tiruchy,Tamil Nadu,606201
Arang,Raipur,Raipur,Raipur,Chattisgarh,493441
Ankalgi,Belgaum,Gokak,North Karnataka,Karnataka,591101
Sindhari,Barmer,Barmer,Jodhpur,Rajasthan,344033
Jammalamadugu,Cuddapah,Proddatur,Kurnool,Andhra Pradesh,516434
Mallan,Muktsar,Faridkot,Chandigarh Region,Punjab,152031
Safidon,Jind,Karnal,Ambala  HQ,Haryana,126112
Sagwa,Vadodara,Vadodara East,Vadodara,Gujarat,391105
Sausar,Chhindwara,Chhindwara,Bhopal HQ,Madhya Pradesh,480106
AMBAGARH,none,none,none,none,none
Binka,Sonapur,Balangir,Sambalpur,Odisha,767019
Valpoi,North Goa,Goa,Goa-Panaji,Goa,403506
Ratlam,Ratlam,Ratlam,Indore,Madhya Pradesh,457001
Palsana,Gandhi Nagar,Gandhinagar,Ahmedabad HQ,Gujarat,382721
Bhadra,Sirsa,Hissar,Ambala  HQ,Haryana,125078
Ghanpur,Adilabad,Adilabad,Hyderabad,Telangana,504304
Khanapur,Bijapur(KAR),Bijapur,North Karnataka,Karnataka,586128
Dhoraji,Rajkot,Gondal,Rajkot,Gujarat,360410
Indri,Karnal,Karnal,Ambala  HQ,Haryana,132041
Kosigi,Kurnool,Kurnool,Kurnool,Andhra Pradesh,518313
TUSURA,none,none,none,none,none
Peresandra,Chikkaballapur,Kolar,South Karnataka,Karnataka,562104
Gulabganj,Sirohi,Sirohi,Jodhpur,Rajasthan,307511
SRI,none,none,none,none,none
BABUBARHI,none,none,none,none,none
BABUBARHI,none,none,none,none,none
Nandikotkur,Kurnool,Kurnool,Kurnool,Andhra Pradesh,518401
Mahnar,Vaishali,Vaishali,Patna HQ,Bihar,844506
Anandnagar,Nizamabad,Nizamabad,Hyderabad,Telangana,503188
Mhaswad,Satara,Satara,Pune,Maharashtra,415509
Mungeli,Bilaspur(CGH),Bilaspur,Raipur,Chattisgarh,495334
Jamner,Guna,Guna,Gwalior,Madhya Pradesh,473287
Arain,Ajmer,Ajmer,Ajmer,Rajasthan,305813
CHANGERA,none,none,none,none,none
Magadi,Ramanagar,Channapatna,Bangalore HQ,Karnataka,562120
Harda,Harda,Hoshangabad,Bhopal HQ,Madhya Pradesh,461331
PANDHARAKWADA,none,none,none,none,none
MAKTAL,none,none,none,none,none
Anchal,Kollam,Pathanamthitta,Trivandrum  HQ,Kerala,691306
SULTAN,none,none,none,none,none
Akaltara,Bilaspur(CGH),Bilaspur,Raipur,Chattisgarh,495552
Rudraprayag,Rudraprayag,Chamoli,Dehradun,Uttarakhand,246171
Thalassery,Kannur,Thalassery,Calicut,Kerala,670101
Chandkhuri,Durg,Durg,Raipur,Chattisgarh,491221
Kutiyana,Porbandar,Porbandar,Rajkot,Gujarat,362650
Madhugiri,Tumkur,Tumkur,South Karnataka,Karnataka,572132
Biaora,Rajgarh,Sehore,Indore,Madhya Pradesh,465674
Nyalkal,Medak,Sangareddy,Hyderabad,Telangana,502256
NILAGIRI,none,none,none,none,none
Udgir,Latur,Osmanabad,Aurangabad,Maharashtra,413517
Dhamdha,Durg,Durg,Raipur,Chattisgarh,491331
Perundurai,Erode,Erode,Coimbatore,Tamil Nadu,638052
Panjola,Patiala,Patiala,Chandigarh HQ,Punjab,147101
Ramgarh,Banswara,Dungarpur,Ajmer,Rajasthan,327801
RAJAMPETA,none,none,none,none,none
Jhalod,Dahod,Panchmahals,Vadodara,Gujarat,389170
Muthukur,Cuddapah,Cuddapah,Kurnool,Andhra Pradesh,516501
Dumarpali,Mahasamund,Raipur,Raipur,Chattisgarh,493551
Banjar,Kullu,Mandi,Shimla HQ,Himachal Pradesh,175123
Almora,Almora,Almora,Dehradun,Uttarakhand,263601
Lormi,Bilaspur(CGH),Bilaspur,Raipur,Chattisgarh,495115
Lasalgaon,Nashik,Malegaon,Aurangabad,Maharashtra,422306
Rosera,Samastipur,Samastipur,Muzaffarpur,Bihar,848210
Panjwara,Banka,Bhagalpur,Patna HQ,Bihar,813110
Penukonda,Ananthapur,Hindupur,Kurnool,Andhra Pradesh,515110
Padampur,Bilaspur(CGH),Bilaspur,Raipur,Chattisgarh,495330
Kinwat,Nanded,Nanded,Aurangabad,Maharashtra,431804
Achampet,Mahabub Nagar,Wanaparthy,Hyderabad,Telangana,509375
Irinjalakuda,Thrissur,Irinjalakuda,Kochi,Kerala,680121
DEVGIRI,none,none,none,none,none
Bhanupratappur,Kanker,Bastar,Raipur,Chattisgarh,494669
Tenkasi,Tirunelveli,Kovilpatti,Madurai,Tamil Nadu,627811
Gandhwani,Dhar,Indore Moffusil,Indore,Madhya Pradesh,454446
Bahadurganj,Sitapur,Sitapur,Lucknow  HQ,Uttar Pradesh,261204
Ranebennur,Haveri,Haveri,North Karnataka,Karnataka,581115
Wada,Thane,Thane West,Mumbai,Maharashtra,421303
Amb,Una,Una,Shimla HQ,Himachal Pradesh,177203
Shergarh,Bareilly,Bareilly,Bareilly,Uttar Pradesh,243505
REDHAKHOL,none,none,none,none,none
NIMHA,none,none,none,none,none
Savner,none,none,none,none,none
Kankavli,Sindhudurg,Sindhudurg,Goa-Panaji,Maharashtra,416602
H,none,none,none,none,none
Rajauli,Nawada,Nawadha,Patna HQ,Bihar,805125
Mandideep,Bhopal,Bhopal,Bhopal HQ,Madhya Pradesh,462046
Anthiyur,Erode,Erode,Coimbatore,Tamil Nadu,638501
Chengam,Tiruvannamalai,Tiruvannamalai,Chennai Region,Tamil Nadu,606701
CHORNUR,none,none,none,none,none
Mandleshwar,West Nimar,Khandwa,Indore,Madhya Pradesh,451221
Malkangiri,Malkangiri,Koraput,Berhampur,Odisha,764045
Gajapathinagaram,Vizianagaram,Vizianagaram,Visakhapatnam,Andhra Pradesh,535270
Surewala,Hisar,Hissar,Ambala  HQ,Haryana,125113
Ratia,Porbandar,Porbandar,Rajkot,Gujarat,360576
Bidadi,Ramanagar,Channapatna,Bangalore HQ,Karnataka,562109
Ponda,Bokaro,Dhanbad,Ranchi,Jharkhand,827302
KADA,none,none,none,none,none
Sirkali,Nagapattinam,Mayiladuthurai,Tiruchy,Tamil Nadu,609110
BHAPUR,none,none,none,none,none
MOPA,none,none,none,none,none
Kaithal,Moradabad,Moradabad,Bareilly,Uttar Pradesh,244412
Rajound,Kaithal,Kurukshetra,Ambala  HQ,Haryana,136044
DARLAGHAT,none,none,none,none,none
Makshi,West Nimar,Khandwa,Indore,Madhya Pradesh,451224
Barhi,Madhubani,Madhubani,Muzaffarpur,Bihar,847226
Vinukonda,Guntur,Narasaraopet,Vijayawada,Andhra Pradesh,522647
MOHANLAL,none,none,none,none,none
NAGSMUDRA,none,none,none,none,none
NAGSMUDRA,none,none,none,none,none
Ratangarh,Churu,Churu,Jodhpur,Rajasthan,331022
Sitamarhi,Sitamarhi,Sitamarhi,Muzaffarpur,Bihar,843301
Kottayam,Kottayam,Kottayam,Kochi,Kerala,686001
Peterbar,Bokaro,Giridih,Ranchi,Jharkhand,829121
Aurangabad,Kanpur Dehat,Kanpur Moffusil,Kanpur,Uttar Pradesh,209310
Haldwani,Nainital,Nainital,Dehradun,Uttarakhand,263139
URVAKONDA,none,none,none,none,none
Hathras,Hathras,Aligarh,Agra,Uttar Pradesh,204101
Umred,Nagpur,Nagpur Moffusil,Nagpur,Maharashtra,441203
Namakkal,Namakkal,Namakkal,Coimbatore,Tamil Nadu,637001
Hanur,Chamrajnagar,Nanjangud,South Karnataka,Karnataka,571439
Damnagar,Amreli,Amreli,Rajkot,Gujarat,365220
Bahal,Hamirpur(HP),Hamirpur,Shimla HQ,Himachal Pradesh,177026
Bikram,Patna,Patna,Patna HQ,Bihar,801104
Deoli,South Delhi,New Delhi South,Delhi,Delhi,110062
MARANAL,none,none,none,none,none
Makhu,Firozpur,Ferozpur,Chandigarh Region,Punjab,142044
HANUMANAHALL,none,none,none,none,none
Nawa,Ajmer,Ajmer,Ajmer,Rajasthan,305814
Kherli,Alwar,Alwar,Jaipur HQ,Rajasthan,321606
Khambha,Rajkot,Gondal,Rajkot,Gujarat,360311
Beliatore,Bankura,Bankura,South Bengal,West Bengal,722203
Pithampur,Dhar,Indore Moffusil,Indore,Madhya Pradesh,454775
Kalavad,Jamnagar,Jamnagar,Rajkot,Gujarat,361160
Bikaner,Bikaner,Bikaner,Jodhpur,Rajasthan,334001
Malarna,Dausa,Jaipur Moffusil,Jaipur HQ,Rajasthan,303303
Brahmpur,Madhubani,Madhubani,Muzaffarpur,Bihar,847409
Sailu,Parbhani,Pharbhani,Aurangabad,Maharashtra,431720
Bhandara,Sultanpur,Sultanpur,Lucknow  HQ,Uttar Pradesh,228155
Chincholi,Gulbarga,Gulbarga,North Karnataka,Karnataka,585307
Bagalkot,Bagalkot,Bagalkot,North Karnataka,Karnataka,587101
MANSA,none,none,none,none,none
Pandalam,Cuttack,Cuttack City,Bhubaneswar HQ,Odisha,754009
Kollapur,Mahabub Nagar,Wanaparthy,Hyderabad,Telangana,509102
Barbigha,Sheikhpura,Monghyr,Patna HQ,Bihar,811101
Akbarpur,Unnao,Kanpur Moffusil,Kanpur,Uttar Pradesh,209867
Aron,Gwalior,Gwalior,Gwalior,Madhya Pradesh,475330
UTHIRAMERUR,none,none,none,none,none
Meliaputti,Srikakulam,Srikakulam,Visakhapatnam,Andhra Pradesh,532215
Nowgong,Chhatarpur,Chhatarpur,Bhopal HQ,Madhya Pradesh,471201
Kapren,Bundi,Tonk,Ajmer,Rajasthan,323301
Waluj,Aurangabad,Aurangabad(Maharashtra),Aurangabad,Maharashtra,431133
Mahidpur,Ashok Nagar,Guna,Gwalior,Madhya Pradesh,473335
Chikodi,Belgaum,Chikodi,North Karnataka,Karnataka,591201
AMBHAJOGAI,none,none,none,none,none
KEL,none,none,none,none,none
Chakradharpur,Mayurbhanj,Mayurbhanj,Bhubaneswar HQ,Odisha,757077
Gangapur,Ganjam,Aska,Berhampur,Odisha,761109
Rasra,Ballia,Ballia,Gorakhpur,Uttar Pradesh,221712
Chakia,Ballia,Ballia,Gorakhpur,Uttar Pradesh,277208
Kanekal,Yadgir,Gulbarga,North Karnataka,Karnataka,585221
TAMPA,none,none,none,none,none
Gharsana,Ganganagar,Sriganganagar,Jodhpur,Rajasthan,335707
Pathari,Solapur,Solapur,Pune,Maharashtra,413002
Kunkavav,Amreli,Amreli,Rajkot,Gujarat,365450
Bhadohi,Unnao,Kanpur Moffusil,Kanpur,Uttar Pradesh,209801
Chodavaram,Krishna,Vijayawada,Vijayawada,Andhra Pradesh,521139
ANGAMALY,none,none,none,none,none
VIRATNAGAR,none,none,none,none,none
Mundgod,Uttara Kannada,Sirsi,North Karnataka,Karnataka,581349
Tharad,Banaskantha,Banasanktha,Ahmedabad HQ,Gujarat,385565
DEVENDRANAGAR,none,none,none,none,none
Ganj,Panna,Chhatarpur,Bhopal HQ,Madhya Pradesh,488333
Parola,Jalgaon,Jalgaon,Aurangabad,Maharashtra,425111
Hamirpur,Bankura,Bankura,South Bengal,West Bengal,722206
Srinagar,Gumla,Ranchi,Ranchi,Jharkhand,835206
Khanpur,Gandhi Nagar,Gandhinagar,Ahmedabad HQ,Gujarat,382315
Junnardeo,Chhindwara,Chhindwara,Bhopal HQ,Madhya Pradesh,480551
Sayan,Bharuch,Bharuch,Vadodara,Gujarat,393030
Petlad,Anand,Kheda,Vadodara,Gujarat,388450
Raipur,Sonbhadra,Mirzapur,Allahabad,Uttar Pradesh,231213
Chandwad,Raisen,Vidisha,Bhopal HQ,Madhya Pradesh,464881
Beguniapada,Ganjam,Berhampur,Berhampur,Odisha,761031
Kamshet,Pune,Pune Moffusil,Pune,Maharashtra,410405
Valsad,Valsad,Valsad,Vadodara,Gujarat,396001
Waidhan,Singrauli,Shahdol,Bhopal HQ,Madhya Pradesh,486886
Nagapattinam,Nagapattinam,Nagapattinam,Tiruchy,Tamil Nadu,611001
Ernakulam,Ernakulam,Ernakulam,Kochi,Kerala,682011
Lumding,Nagaon,Nagaon,Dibrugarh,Assam,782447
Manawar,Dhar,Indore Moffusil,Indore,Madhya Pradesh,454446
Pithampur,Dhar,Indore Moffusil,Indore,Madhya Pradesh,454775
AVINASHI,none,none,none,none,none
Jaraka,Jajapur,Cuttack North,Bhubaneswar HQ,Odisha,755050
Rankuva,Navsari,Navsari,Vadodara,Gujarat,396560
Wadegaon,Chandrapur,Chandrapur,Nagpur,Maharashtra,441207
Uchana,Jind,Karnal,Ambala  HQ,Haryana,126115
Gokavaram,Kurnool,Kurnool,Kurnool,Andhra Pradesh,518422
MECHEDA,none,none,none,none,none
Mohammadi,Firozabad,Mainpuri,Agra,Uttar Pradesh,283204
Ujhana,Jind,Karnal,Ambala  HQ,Haryana,126116
Sangola,Solapur,Pandharpur,Pune,Maharashtra,413307
Raval,Jamnagar,Jamnagar,Rajkot,Gujarat,361325
Bharwara,Lucknow,Lucknow,Lucknow  HQ,Uttar Pradesh,226104
Becharaji,Mahesana,Mahesana,Ahmedabad HQ,Gujarat,384210
Kalmeshwar,Nagpur,Nagpur Moffusil,Nagpur,Maharashtra,441501
PALAKODU,none,none,none,none,none
HUNASAGI,none,none,none,none,none
Gangapur,Ganjam,Aska,Berhampur,Odisha,761109
Bijnor,Bijnor,Bijnor,Bareilly,Uttar Pradesh,246701
Galagali,Bagalkot,Bagalkot,North Karnataka,Karnataka,587117
SHERAGADA,none,none,none,none,none
Mahabubnagar,Mahabub Nagar,Mahabubnagar,Hyderabad,Telangana,509001
Chakia,Ballia,Ballia,Gorakhpur,Uttar Pradesh,277208
Agroha,Hisar,Hissar,Ambala  HQ,Haryana,125047
Pavijetpur,Vadodara,Vadodara East,Vadodara,Gujarat,391160
Bavla,Ahmedabad,Gandhinagar,Ahmedabad HQ,Gujarat,382220
Chuda,Surendra Nagar,Surendranagar,Rajkot,Gujarat,363410
Bhongir,Nalgonda,Nalgonda,Hyderabad,Telangana,508116
Amarwara,Chhindwara,Chhindwara,Bhopal HQ,Madhya Pradesh,480221
Atmakur,Ananthapur,Hindupur,Kurnool,Andhra Pradesh,515631
Mandvi,Patan,Patan,Ahmedabad HQ,Gujarat,384245
Cheepurupalli,Visakhapatnam,Anakapalle,Visakhapatnam,Andhra Pradesh,531020
Vairag,Solapur,Solapur,Pune,Maharashtra,413402
Dumka,Dahod,Panchmahals,Vadodara,Gujarat,389382
GUNDELPALLI,none,none,none,none,none
Bisra,Sundergarh,Sundargarh,Sambalpur,Odisha,770036
Pilibhit,Pilibhit,Bareilly,Bareilly,Uttar Pradesh,262001
Bundu,Ranchi,Ranchi,Ranchi,Jharkhand,835204
Manamadurai,Vellore,Arakkonam,Chennai Region,Tamil Nadu,632502
Kotturu,Guntur,Narasaraopet,Vijayawada,Andhra Pradesh,522426
Mandawar,Rajsamand,Udaipur,Ajmer,Rajasthan,313341
Tirumalagiri,Krishna,Vijayawada,Vijayawada,Andhra Pradesh,521178
Jewar,Gautam Buddha Nagar,Bulandshahar,Agra,Uttar Pradesh,203135
Unnao,Datia,Gwalior,Gwalior,Madhya Pradesh,475671
Howrah,Howrah,Howrah,South Bengal,West Bengal,711101
Sunderbani,Rajauri,Rajouri,Srinagar HQ,Jammu & Kashmir,185153
Ausa,Latur,Osmanabad,Aurangabad,Maharashtra,413520
Sirsa,West Midnapore,Midnapore,South Bengal,West Bengal,721260
Simhadripuram,Cuddapah,Proddatur,Kurnool,Andhra Pradesh,516454
Badarwas,Shivpuri,Guna,Gwalior,Madhya Pradesh,473995
Noida,Gautam Buddha Nagar,Ghaziabad,Lucknow  HQ,Uttar Pradesh,201301
Hariharganj,Pratapgarh,Pratapgarh,Allahabad,Uttar Pradesh,230304
Sonepur,Kandhamal,Phulbani,Berhampur,Odisha,762104
Bagalkot,Bagalkot,Bagalkot,North Karnataka,Karnataka,587101
Satbarwa,Palamau,Palamau,Ranchi,Jharkhand,822126
Brajarajnagar,Jharsuguda,Sambalpur,Sambalpur,Odisha,768216
Rajmahal,Tonk,Tonk,Ajmer,Rajasthan,304804
Tohana,Fatehabad,Hissar,Ambala  HQ,Haryana,125120
Rampur,Gaya,Gaya,Patna HQ,Bihar,804403
Gurudijhatia,Cuttack,Cuttack South,Bhubaneswar HQ,Odisha,754028
Siliguri,Nagaon,Nagaon,Dibrugarh,Assam,782435
Kalyandurg,Ananthapur,Anantapur,Kurnool,Andhra Pradesh,515761
Mananthavady,Wayanad,Thalassery,Calicut,Kerala,670645
Barwadih,Latehar,Palamau,Ranchi,Jharkhand,822111
PHULERAJUNCTION,none,none,none,none,none
Satnoor,Amravati,Amaravati,Nagpur,Maharashtra,444907
Neradi,Srikakulam,Srikakulam,Visakhapatnam,Andhra Pradesh,532459
Kagal,Uttara Kannada,Karwar,North Karnataka,Karnataka,581351
Champua,Kendujhar,Keonjhar,Sambalpur,Odisha,758041
Ilkal,Bagalkot,Bagalkot,North Karnataka,Karnataka,587125
Patan,Alwar,Alwar,Jaipur HQ,Rajasthan,301414
Anjad,Barwani,Khandwa,Indore,Madhya Pradesh,451556
Ariyalur,Tiruvarur,Pattukottai,Tiruchy,Tamil Nadu,614702
ASHOK,none,none,none,none,none
Sundargarh,Sundergarh,Sundargarh,Sambalpur,Odisha,770001
Mudhol,Koppal,Gadag,North Karnataka,Karnataka,583236
Malsisar,Hanumangarh,Sriganganagar,Jodhpur,Rajasthan,335502
Sohela,Sonapur,Balangir,Sambalpur,Odisha,767023
SUGGENI,none,none,none,none,none
Bhokardan,Aurangabad,Aurangabad(Maharashtra),Aurangabad,Maharashtra,431114
KAYAMKULAM,none,none,none,none,none
Motala,Buldhana,Buldana,Nagpur,Maharashtra,443103
Fatehpur,Baleswar,Balasore,Bhubaneswar HQ,Odisha,756048
Sarangarh,Raigarh,Raigarh,Raipur,Chattisgarh,496445
PERINTHALMANNA,none,none,none,none,none
Coonoor,Nilgiris,Nilgiris,Coimbatore,Tamil Nadu,643101
NEWASA,none,none,none,none,none
Petlawad,Jhabua,Ratlam,Indore,Madhya Pradesh,457773
Bari,Kangra,Dehra Gopipur,Shimla HQ,Himachal Pradesh,176051
Velanja,Surat,Bardoli,Vadodara,Gujarat,394150
Iritty,Kannur,Thalassery,Calicut,Kerala,670703
Beri,Etah,Etah,Agra,Uttar Pradesh,207401
Modasa,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383315
Bhilad,Valsad,Valsad,Vadodara,Gujarat,396105
Mandi,Jaipur,Jaipur Moffusil,Jaipur HQ,Rajasthan,303005
Puttur,Udupi,Udupi,South Karnataka,Karnataka,576105
Achalpur,Mainpuri,Mainpuri,Agra,Uttar Pradesh,205263
Chaurai,Kanpur Nagar,Kanpur City,Kanpur,Uttar Pradesh,209214
Amaria,Pilibhit,Bareilly,Bareilly,Uttar Pradesh,262121
Jath,Sangli,Sangli,Goa-Panaji,Maharashtra,416404
Balasore,Baleswar,Balasore,Bhubaneswar HQ,Odisha,756001
VIVEKANANDA,none,none,none,none,none
Prantij,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383205
Panruti,Kanchipuram,Kanchipuram,Chennai Region,Tamil Nadu,631604
Chittapur,Gulbarga,Gulbarga,North Karnataka,Karnataka,585211
Singtam,East Sikkim,Sikkim,North Bengal And Sikkim,Sikkim,737134
Sangrur,Sangrur,Sangrur,Chandigarh HQ,Punjab,148001
Pallu,Hanumangarh,Sriganganagar,Jodhpur,Rajasthan,335524
GREATER,none,none,none,none,none
Amadalavalasa,Srikakulam,Srikakulam,Visakhapatnam,Andhra Pradesh,532185
Canacona,South Goa,Goa,Goa-Panaji,Goa,403702
SANAVAD,none,none,none,none,none
Bongaigaon,Bongaigaon,Goalpara,Guwahati HQ,Assam,783380
Ghatal,West Midnapore,Midnapore,South Bengal,West Bengal,721212
PALITHANA,none,none,none,none,none
Madurantakam,Kanchipuram,Chengalpattu,Chennai Region,Tamil Nadu,603306
Beohari,Shahdol,Shahdol,Bhopal HQ,Madhya Pradesh,484774
Ashta,Chandrapur,Chandrapur,Nagpur,Maharashtra,442906
Bulandshahr,Bulandshahr,Bulandshahar,Agra,Uttar Pradesh,203001
Jakhalabandha,Nagaon,Nagaon,Dibrugarh,Assam,782136
Latur,Latur,Osmanabad,Aurangabad,Maharashtra,413512
Kishore,Thane,Thane Central,Mumbai,Maharashtra,421401
Martur,Gulbarga,Gulbarga,North Karnataka,Karnataka,585228
Gargoti,Kolhapur,Kolhapur,Goa-Panaji,Maharashtra,416209
Selamba,Bharuch,Bharuch,Vadodara,Gujarat,393025
BASODA,none,none,none,none,none
Dindori,Bilaspur(CGH),Bilaspur,Raipur,Chattisgarh,495115
NAVI,none,none,none,none,none
Khanapur,Bijapur(KAR),Bijapur,North Karnataka,Karnataka,586128
Jafrabad,Kannauj,Fatehgarh,Kanpur,Uttar Pradesh,209721
Bongaon,Golaghat,Sibsagar,Dibrugarh,Assam,785611
Sohagpur,Janjgir-champa,Bilaspur,Raipur,Chattisgarh,495671
JOGINDER,none,none,none,none,none
Baheri,Ghazipur,Ghazipur,Allahabad,Uttar Pradesh,233223
Bamra,Shivpuri,Guna,Gwalior,Madhya Pradesh,473775
Seoni,Raipur,Raipur,Raipur,Chattisgarh,493996
KALLAKUDI,none,none,none,none,none
HANUMANAHALL,none,none,none,none,none
Karanja,Raigarh(MH),New Mumbai,Mumbai,Maharashtra,400702
Badnapur,Aurangabad,Aurangabad(Maharashtra),Aurangabad,Maharashtra,431202
Jamjodhpur,Jamnagar,Jamnagar,Rajkot,Gujarat,360530
Ajitgarh,Rajsamand,Udaipur,Ajmer,Rajasthan,305921
Venkatagiri,Khammam,Khammam,Vijayawada,Telangana,507003
